Date,Time,Category,Amount,Description,Expense Type
,,,,,
2025-04-13,12:31 AM,Food,12.0,aaa,Expense
2025-04-13,12:11 AM,Transport,5.0,gt,Expense
2025-04-13,12:11 AM,Food,10.0,ara,Expense
2025-04-13,12:11 AM,Transport,100.0,car,Expense
2025-04-13,12:02 AM,Food,11.0,asdfg,Expense
2025-04-13,12:01 AM,Food,12.0,a,Expense
2025-04-12,11:57 PM,Food,12.0,a,Expense
2025-04-12,11:56 PM,Food,1.0,y,Expense
2025-04-12,11:48 PM,Food,1.0,a,Expense
2025-04-12,11:39 PM,Food,111.0,ttee,Expense
2025-04-12,11:38 PM,Food,999.0,tysm,Expense
2025-04-12,11:35 PM,Food,123.0,zxc,Expense
2025-04-12,06:08 PM,Transport,50.0,shuttel,Expense
2025-04-12,06:08 PM,Shopping,40.0,snacks,Expense
2025-04-12,02:09 PM,Food,50.0,aa,Expense
2025-04-10,10:40 AM,Shopping,50.0,Tea,Expense
2025-04-10,10:05 AM,Transport,350.0,Train,Expense
2025-04-09,05:11 PM,Food,12.0,ss,Expense
2025-04-09,04:27 PM,Food,44.0,juice,Expense
2025-04-09,04:18 PM,Food,12.0,coffee,Expense
2025-04-09,04:17 PM,Food,12.0,tea,Expense
2025-04-06,12:55 PM,Shopping,5000.0,Show,Expense
2025-04-06,12:54 PM,Food,50.0,Podi Dosa,Expense
2025-04-06,01:02 PM,Food,150.0,ccccc,Expense
2025-04-05,10:22 AM,Food,12.0,tae,Expense
2025-04-05,02:17 PM,Entertainment,450.0,remote,Expense
2025-04-05,02:14 PM,Transport,21.0,ara,Expense
2025-04-05,02:06 PM,Food,50.0,ara,Expense
2025-04-04,02:41 AM,Food,300.0,A5,Expense
2025-04-03,07:18 PM,Shopping,500.0,a3,Expense
2025-04-03,07:06 PM,Shopping,300.0,a2,Expense
2025-04-03,07:06 PM,Food,250.0,a3,Expense
2025-04-03,07:00 PM,Food,800.0,a,Expense
2025-04-02,02:29 AM,Shopping,1212.0,aaaa,Expense
2025-03-08,12:34 AM,Food,1111.0,huhu,Expense
2025-03-08,12:34 AM,Transport,12.0,aaa,Expense
2025-03-08,12:33 AM,Food,12.0,aa,Expense
2025-03-08,12:28 AM,Transport,120.0,aqw,Expense
2025-03-08,12:28 AM,Food,129.0,sss,Expense
2025-03-08,12:27 AM,Food,1200.0,qwert,Expense
2025-03-08,12:23 AM,Food,100.0,aa,Expense
2025-03-08,12:08 AM,Transport,20.0,aas,Expense
2025-03-08,12:01 AM,Food,50.0,avc,Expense
2025-03-08,05:02 PM,Food,21.0,qa,Expense
2025-03-08,04:12 PM,Shopping,799.0,KID DRESS,Expense
2025-03-08,04:12 PM,Shopping,100.0,AA,Expense
2025-03-08,04:12 PM,Shopping,200.0,QQ,Expense
2025-03-08,04:07 PM,Food,10.0,tea,Expense
2025-03-08,04:07 PM,Food,30.0,coffee,Expense
2025-03-07,11:59 PM,Food,100.0,roll,Expense
2025-03-07,11:58 PM,Food,100.0,ass,Expense
2025-03-07,11:52 PM,Food,122.0,aaaww,Expense
2025-03-07,11:52 PM,Transport,111.0,aaa,Expense
2025-03-07,11:52 PM,Transport,890.0,bus,Expense
2025-03-07,11:46 PM,Food,122.0,aaa,Expense
2025-03-06,11:14 PM,Food,12111.0,ass,Expense
2025-03-06,05:47 PM,Food,100.0,onefoodworld,Expense
2025-03-05,12:31 PM,Food,1212.0,salary,Income
2025-03-05,12:31 PM,Transport,3643.0,train,Expense
2025-03-05,12:14 PM,Transport,1.0,autp,Income
